Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 22:41:43+00:00,1554235960208117768,@LulaOficial https://t.co/4OWD16vnVG,Lula, 
2022-08-01 22:41:43+00:00,1554235958865829890,"@Jouberth19 Eu ia votar nulo, devo votar no Lula então?",Lula," eu ia votar nulo, devo votar no lula então?"
2022-08-01 22:41:43+00:00,1554235958832283650,"@bahiaminhaporra @fabiomarinhojr @miropalma Animal, Lula governou o país por 8 anos e teve recorde de aprovação popular. Qual foi o passo que o Brasil deu para o comunismo durante o governo dele? Se comporte como um ser humano e não a porra de um papagaio que só repete palavras desconexas achando estar fazendo sentido",Lula,"   animal, lula governou o país por 8 anos e teve recorde de aprovação popular. qual foi o passo que o brasil deu para o comunismo durante o governo dele? se comporte como um ser humano e não a porra de um papagaio que só repete palavras desconexas achando estar fazendo sentido"
2022-08-01 22:41:43+00:00,1554235956756111360,"Estou indignado por ter sido bloqueado pelo Lula! Como pode? Um presidenciável, perdendo tempo para CENSURAR um cidadão e eleitor. Tem tanto medo da verdade? Não quer que outros a enxerguem? A que nível chegou a censura nesse país, e a que nível chegará se Lula assumir o poder... https://t.co/DEsPUxkUXN",Lula,"estou indignado por ter sido bloqueado pelo lula! como pode? um presidenciável, perdendo tempo para censurar um cidadão e eleitor. tem tanto medo da verdade? não quer que outros a enxerguem? a que nível chegou a censura nesse país, e a que nível chegará se lula assumir o poder... "
2022-08-01 22:41:42+00:00,1554235955111936003,"@LulaOficial @ricardostuckert Vagabundo,marginal!
Vç quer voltar a cena do crime para por em pratica o Projeto Patria Grande com o qual integra a AL atraves da agenda comunista !",Lula,"  vagabundo,marginal!vç quer voltar a cena do crime para por em pratica o projeto patria grande com o qual integra a al atraves da agenda comunista !"
2022-08-01 22:41:41+00:00,1554235951731417089,"@LulaOficial Po, vai derrubar leite na cama",Lula," po, vai derrubar leite na cama"
2022-08-01 22:41:41+00:00,1554235951395880962,@blogdopannunzio @LulaOficial Faltam pouco para vocês perderem o que resta da mamata,Lula,  faltam pouco para vocês perderem o que resta da mamata
2022-08-01 22:41:40+00:00,1554235946706636802,"@cappellarianton @AraujoHelmer LULA 
GIGANTE 
BRASILEIRO 
❤️🌺☀️🇧🇷🤩
#LulaEoPTReconstruirOBrasil",Lula,  lula gigante brasileiro ❤️🌺☀️🇧🇷🤩
2022-08-01 22:41:39+00:00,1554235939916025857,"@flferronato @ThiagoResiste Esse rapaz é gamado no Lula, só pode ser amor",Lula,"  esse rapaz é gamado no lula, só pode ser amor"
2022-08-01 22:41:36+00:00,1554235928742449152,@RicardoFronczak @LulaOficial 😂,Lula,  😂
2022-08-01 22:41:35+00:00,1554235925823111174,@Seraphico22 @LulaOficial Idem acredito 100%,Lula,  idem acredito 100%
2022-08-01 22:41:32+00:00,1554235912510443520,"@marcelocostabh @JornalismoWando Pq eu posso compartilhar o Ciro sendo Sabatinado como nesse link, pq Lula não vai? Tá com vergonha ou tá Arregando msm? https://t.co/zUszQnqHgS",Lula,"  pq eu posso compartilhar o ciro sendo sabatinado como nesse link, pq lula não vai? tá com vergonha ou tá arregando msm? "
2022-08-01 22:41:30+00:00,1554235905346527232,"@LulaOficial Eu sei muito bem o que você quer, seu canalha.",Lula," eu sei muito bem o que você quer, seu canalha."
2022-08-01 22:41:27+00:00,1554235892507754499,"#SouLula
Kkkkk.
Muuuuuu.

É LULA PRESIDENTE https://t.co/dfaK8xMbsi",Lula, lula presidente 
2022-08-01 22:41:26+00:00,1554235888690991105,"@juniomagela @felipe_alr @sobotelha Já tentaram ano passado com uma PEC de senador vitalício para todos os ex presidentes, não?
(Se fosse condição Bolsonaro e Lula desistirem de concorrer não sei se não era uma boa...)",Lula,"   já tentaram ano passado com uma pec de senador vitalício para todos os ex presidentes, não?(se fosse condição bolsonaro e lula desistirem de concorrer não sei se não era uma boa...)"
2022-08-01 22:41:26+00:00,1554235887084617730,@LulaOficial Fazer tudo  de novo😢 sai fora ladrão. Aqui vc não vai fazer nada de novo.,Lula, fazer tudo  de novo😢 sai fora ladrão. aqui vc não vai fazer nada de novo.
2022-08-01 22:41:25+00:00,1554235882621779968,@LulaOficial Tem muito verde e amarelo nesse comunismo...,Lula, tem muito verde e amarelo nesse comunismo...
2022-08-01 22:41:25+00:00,1554235881577390087,"@JoseMedeirosMT @jairbolsonaro Quem pode entender um negócio destes. Um empresário importante optando por um representante do socialismo escroto representado por Lula, pois só é socialista aparente, usa o estado para enriquecer sua gang. Não dá pra entender. #EsquerdaCriminosa",Lula,"  quem pode entender um negócio destes. um empresário importante optando por um representante do socialismo escroto representado por lula, pois só é socialista aparente, usa o estado para enriquecer sua gang. não dá pra entender. "
2022-08-01 22:41:24+00:00,1554235878846959616,@LulaOficial Lula ladrãoooooooo teu lugar é na prisão,Lula, lula ladrãoooooooo teu lugar é na prisão
