Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 03:46:37+00:00,1553950302994309120,"LULA X CIRO GOMES.

GRAÇAS A BRIGA DOS DOIS O BRASIL CONHECE MUITO MAIS DOS ESQUEMAS DOS PTRALHAS.

A VERDADE APARECENDO POR QUEM CONHECE A FORMA DE TRABALHO DOS PTRALHAS. https://t.co/XUn6rfaqxN",Ciro Gomes,lula x ciro gomes.graças a briga dos dois o brasil conhece muito mais dos esquemas dos ptralhas.a verdade aparecendo por quem conhece a forma de trabalho dos ptralhas. 
2022-08-01 03:46:37+00:00,1553950301996126209,"@ideiasamil @cirogomes @CartunistaT Esse aperta 13 no sigilo, certeza kkkkkkkk",Ciro Gomes,"   esse aperta 13 no sigilo, certeza kkkkkkkk"
2022-08-01 03:46:29+00:00,1553950267124682754,@cirogomes @CartunistaT É vergonha alheia que se diz?,Ciro Gomes,  é vergonha alheia que se diz?
2022-08-01 03:46:17+00:00,1553950217875210241,@adeesantana @cirogomes Amigo. Bolsonaro ganhou a eleição com chapa puríssima.,Ciro Gomes,  amigo. bolsonaro ganhou a eleição com chapa puríssima.
2022-08-01 03:46:02+00:00,1553950156508340227,"@ViverVer @Brunobam @APrimeiraVia @cirogomes Ter voto simples assim
O projeto seis esse? Vc leu? https://t.co/I0oZ0PrKP0",Ciro Gomes,    ter voto simples assimo projeto seis esse? vc leu? 
2022-08-01 03:45:42+00:00,1553950069178646529,@_iiass @cirogomes @CartunistaT Coordenador de campanha fã ou hater?,Ciro Gomes,   coordenador de campanha fã ou hater?
2022-08-01 03:45:19+00:00,1553949972416143360,"@cirogomes @CartunistaT Milésimo post infantil, as crianças vão votar mesmo então",Ciro Gomes,"  milésimo post infantil, as crianças vão votar mesmo então"
2022-08-01 03:45:09+00:00,1553949931794219008,@cirogomes @CartunistaT A realidade é somente uma: Ciro Gomes é um ninguém na politica nacional e nao tem condições de governar nem o proprio estado dele atualmente. Mas ta legal dar risada com a insignificancia deste senil.,Ciro Gomes,  a realidade é somente uma: ciro gomes é um ninguém na politica nacional e nao tem condições de governar nem o proprio estado dele atualmente. mas ta legal dar risada com a insignificancia deste senil.
2022-08-01 03:45:00+00:00,1553949895089967104,@Ruicpimenta29 @cirogomes vendo a barca da esquerda afundar e pula fora do barco para ser a esquerda nos próximos anos,Ciro Gomes,  vendo a barca da esquerda afundar e pula fora do barco para ser a esquerda nos próximos anos
2022-08-01 03:44:58+00:00,1553949886797725696,"@LizAzebot @cirogomes @CartunistaT O pior de tudo, é que ele acha real que tá abafando no marketing para o público jovem.",Ciro Gomes,"   o pior de tudo, é que ele acha real que tá abafando no marketing para o público jovem."
2022-08-01 03:44:41+00:00,1553949815935012872,"@cirogomes @CartunistaT Agora sabemos pra onde o mestre dos magos ia quando ele sumia, Paris!",Ciro Gomes,"  agora sabemos pra onde o mestre dos magos ia quando ele sumia, paris!"
2022-08-01 03:44:32+00:00,1553949777334878209,"@cirogomes @CartunistaT Patético
Vc se perdeu no personagem 
Uma lástima",Ciro Gomes,  patéticovc se perdeu no personagem uma lástima
